first_name,second_name,now_cost,total_points,form,minutes,team,element_type
Marc,Guéhi,4.5,38,3.0,1080,7,2
Dean,Henderson,4.4,43,3.7,1080,7,1
Will,Hughes,4.9,11,1.0,542,7,3
Daichi,Kamada,5.1,14,0.3,616,7,3
Jefferson,Lerma Solís,4.8,10,0.3,440,7,3
Jean-Philippe,Mateta,7.2,40,3.0,842,7,4
Tyrick,Mitchell,4.9,26,0.7,1030,7,2
Daniel,Muñoz,4.8,26,1.7,994,7,2
Jeffrey,Schlupp,4.7,9,1.0,79,7,3
Adam,Wharton,4.7,15,0.0,621,7,3
Ismaïla,Sarr,5.7,31,5.7,565,7,3
Justin,Devenny,4.5,10,3.3,146,7,3
Asher,Agbinone,4.5,2,0.3,4,7,3
Maxence,Lacroix,4.5,21,0.7,810,7,2
Caleb,Kporha,4.0,1,0.3,1,7,2
Abdoulaye,Doucouré,5.1,22,2.0,720,8,3
Norberto Bercique,Gomes Betuncal,5.0,14,1.0,113,8,4
Jarrad,Branthwaite,4.8,16,4.3,276,8,2
Dominic,Calvert-Lewin,5.6,37,2.0,988,8,4
Séamus,Coleman,4.3,1,0.0,90,8,2
Idrissa,Gueye,4.9,22,2.3,823,8,3
James,Garner,4.9,7,0.0,251,8,3
Jack,Harrison,5.3,22,0.7,623,8,3
Mason,Holgate,4.0,1,0.0,5,8,2
Tim,Iroegbunam,4.5,8,0.0,381,8,3
Michael,Keane,4.3,32,0.3,810,8,2
Dwight,McNeil,5.6,54,1.7,977,8,3
Vitalii,Mykolenko,4.3,28,4.7,835,8,2
Iliman,Ndiaye,5.4,35,2.0,893,8,4
Jordan,Pickford,4.9,52,6.3,1080,8,1
James,Tarkowski,4.8,37,5.3,1080,8,2
Ashley,Young,4.5,43,5.3,875,8,2
Jesper,Lindstrøm,5.1,15,2.7,417,8,3
Jake,O'Brien,4.6,0,0.0,26,8,2
Harrison,Armstrong,4.5,1,0.0,1,8,3
Roman,Dixon,4.0,0,0.0,90,8,2
Orel,Mangala,5.0,14,2.0,471,8,3
Reiss,Nelson,5.0,22,2.3,352,9,3
Emile,Smith Rowe,5.8,55,4.7,853,9,3
Joachim,Andersen,4.3,20,3.0,783,9,2
Adama,Traoré,5.0,39,2.0,735,9,3
Andreas,Hoelgebaum Pereira,5.2,31,1.7,893,9,3
Calvin,Bassey,4.5,24,2.3,1080,9,2
Tom,Cairney,4.8,7,1.0,148,9,3
Timothy,Castagne,4.2,2,0.3,49,9,2
Issa,Diop,4.4,8,0.0,390,9,2
Alex,Iwobi,5.6,54,4.7,1035,9,3
Bernd,Leno,5.0,39,3.7,1080,9,1
Saša,Lukić,4.8,13,0.7,638,9,3
Rodrigo,Muniz Carvalho,5.6,21,0.7,339,9,4
Raúl,Jiménez,5.7,50,3.0,732,9,4
Harrison,Reed,4.8,6,0.3,54,9,3
Antonee,Robinson,4.7,40,4.0,1080,9,2
Jay,Stansfield,5.0,1,0.0,1,9,4
Kenny,Tete,4.5,29,3.7,1028,9,2
Harry,Wilson,5.2,24,6.7,104,9,3
Jorge,Cuenca Barreno,4.4,1,0.0,1,9,2
Sander,Berge,5.0,15,1.7,521,9,3
Ali,Al-Hamadi,4.8,2,0.3,41,10,4
Cameron,Burgess,3.9,7,2.0,450,10,2
Wes,Burns,4.8,15,2.0,487,10,3
Conor,Chaplin,5.1,16,1.0,283,10,3
Harry,Clarke,4.0,-4,0.0,95,10,2
Leif,Davis,4.5,34,4.3,1080,10,2
Liam,Delap,5.6,53,5.0,855,10,4
George,Edmundson,4.0,1,0.0,1,10,2
Jacob,Greaves,4.0,11,0.0,630,10,2
Marcus,Myers-Harness,4.9,2,0.0,43,10,3
George,Hirst,5.4,17,0.3,174,10,4
Omari,Giraud-Hutchinson,5.2,31,4.3,964,10,3
Ben,Johnson,4.0,7,1.0,401,10,2
Massimo,Luongo,4.5,7,0.3,143,10,3
